v,imgt,species,added
IGHV1-10,IGHV1-10*01,Bos_taurus,
IGHV1-10,IGHV1-10*02,Bos_taurus,
IGHV1-14,IGHV1-14*01,Bos_taurus,
IGHV1-14,IGHV1-14*02,Bos_taurus,
IGHV1-14,IGHV1-14*03,Bos_taurus,
IGHV1-17,IGHV1-17*01,Bos_taurus,
IGHV1-20,IGHV1-20*01,Bos_taurus,
IGHV1-20,IGHV1-20*02,Bos_taurus,
IGHV1-21,IGHV1-21*01,Bos_taurus,
IGHV1-21,IGHV1-21*02,Bos_taurus,
IGHV1-21,IGHV1-21*03,Bos_taurus,
IGHV1-25,IGHV1-25*01,Bos_taurus,
IGHV1-27,IGHV1-27*01,Bos_taurus,
IGHV1-30,IGHV1-30*01,Bos_taurus,
IGHV1-30,IGHV1-30*02,Bos_taurus,
IGHV1-30,IGHV1-30*03,Bos_taurus,
IGHV1-32,IGHV1-32*01,Bos_taurus,
IGHV1-32,IGHV1-32*02,Bos_taurus,
IGHV1-33,IGHV1-33*01,Bos_taurus,
IGHV1-37,IGHV1-37*01,Bos_taurus,
IGHV1-37,IGHV1-37*02,Bos_taurus,
IGHV1-39,IGHV1-39*01,Bos_taurus,
IGHV1-39,IGHV1-39*02,Bos_taurus,
IGHV1-39,IGHV1-39*03,Bos_taurus,
IGHV1-7,IGHV1-7*01,Bos_taurus,
IGHV1-7,IGHV1-7*02,Bos_taurus,
IGHV1S1,IGHV1S1*01,Bos_taurus,
IGHV2S1,IGHV2S1*01,Bos_taurus,
IGKV1-1,IGKV1-1*01,Bos_taurus,
IGKV1-4,IGKV1-4*01,Bos_taurus,
IGKV2-12,IGKV2-12*01,Bos_taurus,
IGKV2-15,IGKV2-15*01,Bos_taurus,
IGKV2-18,IGKV2-18*01,Bos_taurus,
IGKV2-22,IGKV2-22*01,Bos_taurus,
IGKV2-23,IGKV2-23*01,Bos_taurus,
IGKV2-6,IGKV2-6*01,Bos_taurus,
IGKV2-7,IGKV2-7*01,Bos_taurus,
IGKV2-9,IGKV2-9*01,Bos_taurus,
IGKV8-3,IGKV8-3*01,Bos_taurus,
IGLV1-12,IGLV1-12*01,Bos_taurus,
IGLV1-16,IGLV1-16*01,Bos_taurus,
IGLV1-16,IGLV1-16*02,Bos_taurus,
IGLV1-21,IGLV1-21*01,Bos_taurus,
IGLV1-26,IGLV1-26*01,Bos_taurus,
IGLV1-31,IGLV1-31*01,Bos_taurus,
IGLV1-31,IGLV1-31*02,Bos_taurus,
IGLV1-31,IGLV1-31*03,Bos_taurus,
IGLV1-36,IGLV1-36*01,Bos_taurus,
IGLV1-40,IGLV1-40*01,Bos_taurus,
IGLV1-40,IGLV1-40*02,Bos_taurus,
IGLV1-43,IGLV1-43*01,Bos_taurus,
IGLV1-46,IGLV1-46*01,Bos_taurus,
IGLV1-47,IGLV1-47*01,Bos_taurus,
IGLV1-47,IGLV1-47*02,Bos_taurus,
IGLV1-47,IGLV1-47*03,Bos_taurus,
IGLV1-47,IGLV1-47*04,Bos_taurus,
IGLV1-47,IGLV1-47*05,Bos_taurus,
IGLV1-51,IGLV1-51*01,Bos_taurus,
IGLV1-52,IGLV1-52*01,Bos_taurus,
IGLV1-55,IGLV1-55*01,Bos_taurus,
IGLV1-58,IGLV1-58*01,Bos_taurus,
IGLV1-63,IGLV1-63*01,Bos_taurus,
IGLV1-64,IGLV1-64*01,Bos_taurus,
IGLV1-67,IGLV1-67*01,Bos_taurus,
IGLV1-67,IGLV1-67*02,Bos_taurus,
IGLV1-67,IGLV1-67*03,Bos_taurus,
IGLV1-67,IGLV1-67*04,Bos_taurus,
IGLV1-70,IGLV1-70*01,Bos_taurus,
IGLV1-71,IGLV1-71*01,Bos_taurus,
IGLV1-73,IGLV1-73*01,Bos_taurus,
IGLV13-23,IGLV13-23*01,Bos_taurus,
IGLV2-6,IGLV2-6*01,Bos_taurus,
IGLV2-7,IGLV2-7*01,Bos_taurus,
IGLV2-9,IGLV2-9*01,Bos_taurus,
IGLV3-1,IGLV3-1*01,Bos_taurus,
IGLV3-2,IGLV3-2*01,Bos_taurus,
IGLV3-3,IGLV3-3*01,Bos_taurus,
IGLV3-4,IGLV3-4*01,Bos_taurus,
IGLV3-5,IGLV3-5*01,Bos_taurus,
IGLV5-45,IGLV5-45*01,Bos_taurus,
IGLV5-50,IGLV5-50*01,Bos_taurus,
IGLV5-72,IGLV5-72*01,Bos_taurus,
