v,imgt,species,
TCRBV20-or09_02,TRBV20/OR9-2*01,human,
TCRBV05-02,TRBV5-1*01,human,
TCRBV12-03/12-04,TRBV12-1*01,human,
TCRBV06-02/06-03,TRBV6-2*01,human,
TCRBV03-01/03-02,TRBV3-1*01,human,
TCRBV07-05,TRBV7-1*01,human,
TCRAJ01,TRAJ1*01,human,
TCRAJ10,TRAJ10*01,human,
TCRAJ11,TRAJ11*01,human,
TCRAJ12,TRAJ12*01,human,
TCRAJ13,TRAJ13*01,human,
TCRAJ14,TRAJ14*01,human,
TCRAJ15,TRAJ15*01,human,
TCRAJ16,TRAJ16*01,human,
TCRAJ17,TRAJ17*01,human,
TCRAJ18,TRAJ18*01,human,
TCRAJ19,TRAJ19*01,human,
TCRAJ02,TRAJ2*01,human,
TCRAJ20,TRAJ20*01,human,
TCRAJ21,TRAJ21*01,human,
TCRAJ22,TRAJ22*01,human,
TCRAJ23,TRAJ23*01,human,
TCRAJ24,TRAJ24*01,human,
TCRAJ25,TRAJ25*01,human,
TCRAJ26,TRAJ26*01,human,
TCRAJ27,TRAJ27*01,human,
TCRAJ28,TRAJ28*01,human,
TCRAJ29,TRAJ29*01,human,
TCRAJ03,TRAJ3*01,human,
TCRAJ30,TRAJ30*01,human,
TCRAJ31,TRAJ31*01,human,
TCRAJ32,TRAJ32*01,human,
TCRAJ33,TRAJ33*01,human,
TCRAJ34,TRAJ34*01,human,
TCRAJ35,TRAJ35*01,human,
TCRAJ36,TRAJ36*01,human,
TCRAJ37,TRAJ37*01,human,
TCRAJ38,TRAJ38*01,human,
TCRAJ39,TRAJ39*01,human,
TCRAJ04,TRAJ4*01,human,
TCRAJ40,TRAJ40*01,human,
TCRAJ41,TRAJ41*01,human,
TCRAJ42,TRAJ42*01,human,
TCRAJ43,TRAJ43*01,human,
TCRAJ44,TRAJ44*01,human,
TCRAJ45,TRAJ45*01,human,
TCRAJ46,TRAJ46*01,human,
TCRAJ47,TRAJ47*01,human,
TCRAJ48,TRAJ48*01,human,
TCRAJ49,TRAJ49*01,human,
TCRAJ05,TRAJ5*01,human,
TCRAJ50,TRAJ50*01,human,
TCRAJ51,TRAJ51*01,human,
TCRAJ52,TRAJ52*01,human,
TCRAJ53,TRAJ53*01,human,
TCRAJ54,TRAJ54*01,human,
TCRAJ55,TRAJ55*01,human,
TCRAJ56,TRAJ56*01,human,
TCRAJ57,TRAJ57*01,human,
TCRAJ58,TRAJ58*01,human,
TCRAJ59,TRAJ59*01,human,
TCRAJ06,TRAJ6*01,human,
TCRAJ60,TRAJ60*01,human,
TCRAJ61,TRAJ61*01,human,
TCRAJ07,TRAJ7*01,human,
TCRAJ08,TRAJ8*01,human,
TCRAJ09,TRAJ9*01,human,
TCRAV01-01,TRAV1-1*01,human,
TCRAV01-02,TRAV1-2*01,human,
TCRAV10,TRAV10*01,human,
TCRAV11,TRAV11*01,human,
TCRAV12-01,TRAV12-1*01,human,
TCRAV12-02,TRAV12-2*01,human,
TCRAV12-03,TRAV12-3*01,human,
TCRAV13-01,TRAV13-1*01,human,
TCRAV13-02,TRAV13-2*01,human,
TCRAV16,TRAV16*01,human,
TCRAV17,TRAV17*01,human,
